i,t,value
Heavy Industry and Manufacturing,1,2.0876266308203384
Heavy Industry and Manufacturing,2,2.0896600386669295
Heavy Industry and Manufacturing,3,2.091270855616423
Heavy Industry and Manufacturing,4,2.092499186449248
Heavy Industry and Manufacturing,5,2.0933820923749513
Heavy Industry and Manufacturing,6,2.093953734679932
Heavy Industry and Manufacturing,7,2.094245534974082
Heavy Industry and Manufacturing,8,2.094286343339835
Heavy Industry and Manufacturing,9,2.0941026082886616
Heavy Industry and Manufacturing,10,2.0937185443538064
Primary and Light Industry,1,1.9700986370065676
Primary and Light Industry,2,1.9796340121594591
Primary and Light Industry,3,1.9882568849423965
Primary and Light Industry,4,1.9960369488080998
Primary and Light Industry,5,2.0030395671759793
Primary and Light Industry,6,2.009325890704816
Primary and Light Industry,7,2.0149530070632915
Primary and Light Industry,8,2.0199741124339976
Primary and Light Industry,9,2.0244386965659222
Primary and Light Industry,10,2.0283927352019004
Social and Professional Services,1,2.0697383279616677
Social and Professional Services,2,2.068795670186141
Social and Professional Services,3,2.0677974342021788
Social and Professional Services,4,2.0667510978986225
Social and Professional Services,5,2.065663615685742
Social and Professional Services,6,2.0645414192094647
Social and Professional Services,7,2.0633904288819505
Social and Professional Services,8,2.062216072634837
Social and Professional Services,9,2.061023309257415
Social and Professional Services,10,2.0598166544430807
Trade and Finance,1,2.0469996966716586
Trade and Finance,2,2.050056826172142
Trade and Finance,3,2.0526853985052718
Trade and Finance,4,2.0549226642117224
Trade and Finance,5,2.056803301199306
Trade and Finance,6,2.0583594927487736
Trade and Finance,7,2.0596210310603658
Trade and Finance,8,2.0606154365354623
Trade and Finance,9,2.0613680856663485
Trade and Finance,10,2.061902342410127
Utilities and Transport,1,2.032395396156117
Utilities and Transport,2,2.0364017170855675
Utilities and Transport,3,2.0398224646302587
Utilities and Transport,4,2.042724178022448
Utilities and Transport,5,2.0451654417714904
Utilities and Transport,6,2.047197973037296
Utilities and Transport,7,2.048867535545762
Utilities and Transport,8,2.050214712038434
Utilities and Transport,9,2.051275560569299
Utilities and Transport,10,2.0520821748060136
